id;x;y;timestamp
9;116.490013;39.892902;1381242600
9;116.511292;39.904655;1381242600
11;116.450546;39.943771;1381244400
11;116.440742;40.018944;1381244400
13;116.335503;39.763187;1381223700
13;116.34182;39.771339;1381223700
16;116.479919;39.801834;1381230000
16;116.493935;39.789604;1381230000
24;116.229218;39.900791;1381190400
24;116.314941;39.897045;1381190400
25;116.324127;39.897049;1381192200
25;116.410393;39.899246;1381192200
40;116.408173;39.79324;1381192200
40;116.470497;39.911777;1381192200
53;116.360901;39.878113;1381228200
53;116.284477;39.957474;1381228200
55;116.268333;39.883675;1381232700
55;116.266289;39.856838;1381232700
60;116.467606;39.876831;1381184100
60;116.378616;39.859783;1381184100
67;116.351501;39.939926;1381183200
67;116.541328;40.024174;1381183200
77;116.369614;39.985012;1381211100
77;116.332123;39.992634;1381211100
82;116.437233;39.98579;1381195800
82;116.461655;39.950142;1381195800
86;116.386902;39.854935;1381228200
86;116.347527;39.850155;1381228200
89;116.325829;39.897053;1381192200
89;116.356834;39.916866;1381192200
97;116.316399;39.978687;1381204800
97;116.313873;40.024509;1381204800
105;116.461601;39.940952;1381161600
105;116.417839;40.024811;1381161600
112;116.200317;39.944359;1381207500
112;116.200386;39.927677;1381207500
117;116.267342;39.850098;1381219200
117;116.319969;39.896984;1381219200
125;116.416809;39.943233;1381244400
125;116.395378;39.955612;1381244400
126;116.393478;39.949192;1381244400
126;116.268219;39.90752;1381244400
136;116.354355;39.937729;1381220100
136;116.346481;39.957378;1381220100
138;116.438904;39.959709;1381230000
138;116.387665;39.983196;1381230000
141;116.472702;39.908451;1381237200
141;116.370148;39.865528;1381237200
145;116.425163;40.002159;1381190400
145;116.523468;40.01783;1381190400
148;116.411774;39.933418;1381197600
148;116.373375;39.911861;1381197600
152;116.42009;39.949429;1381220100
152;116.419937;39.959255;1381220100
153;116.430466;39.924332;1381221000
153;116.459526;39.87125;1381221000
155;116.464394;39.950233;1381194000
155;116.478432;39.971203;1381194000
159;116.386604;39.962914;1381208400
159;116.350639;39.944126;1381208400
161;116.394028;39.945255;1381211100
161;116.459404;39.954185;1381211100
162;116.462898;39.957199;1381212000
162;116.378983;39.968269;1381212000
163;116.370537;39.96191;1381213800
163;116.355591;39.952381;1381213800
165;116.401199;39.968513;1381219200
165;116.450661;39.963341;1381219200
166;116.19899;39.947796;1381185000
166;116.379066;39.866085;1381185000
174;116.352585;39.909069;1381202100
174;116.357002;39.974949;1381202100
186;116.286186;39.828526;1381214700
186;116.428528;39.848289;1381214700
187;116.428612;39.854511;1381216500
187;116.420914;39.882622;1381216500
189;116.418274;39.897247;1381222800
189;116.401794;39.865501;1381222800
190;116.399193;39.881485;1381224600
190;116.399559;39.891693;1381224600
191;116.374535;39.893444;1381225500
191;116.411476;39.900959;1381225500
192;116.420616;39.884583;1381227300
192;116.310402;39.931355;1381227300
193;116.350319;39.928406;1381230000
193;116.326385;39.927998;1381230000
195;116.358215;39.952072;1381232700
195;116.371826;39.999496;1381232700
197;116.417244;39.929962;1381235400
197;116.418327;39.902512;1381235400
201;116.481697;39.908001;1381239900
201;116.497803;39.911091;1381239900
202;116.421715;39.86385;1381243500
202;116.400566;39.842472;1381243500
203;116.370667;39.835686;1381245300
